,manufacturer,main_type,built_year,first_registration_date,has_all_wheel_drive,horsepower,handover_key_count,length,width,height,mileage,kw,price,evaluation_datetime,fuel,gear,ac,gps,color
0,Audi,1er,  2006_year ,2006-08-14,,108.0,2,3594.0,2039.0,1501,306389.0,80.0,1302,2018-06-29 16:22:31,Benzin,Manual,Manual,,red
1,BMW,206,  2009_year ,2009-06-24,,59.0,2,3736.0,2159.0,1462,183210.0,43.0,3153,2018-06-01 13:30:40,Benzin,Manual,Manual,,black
2,Audi,1er,  2002_year ,2002-12-27,,168.0,2,3452.0,2333.0,1486,203049.0,124.0,1793,2018-05-26 15:14:39,Benzin,Manual,Auto,,brown
3,Citroen,207,  2003_year ,2003-02-07,,218.0,2,3495.0,2150.0,1445,344348.0,161.0,3261,2018-06-23 16:48:08,Diesel,Auto_or_Hybrid,Auto,Big,silver
4,Dacia,307,  2004_year ,2005-02-25,,69.0,2,3586.0,2163.0,1451,242488.0,51.0,805,2018-09-02 15:13:29,Benzin,Manual,Manual,,brown
5,BMW,3er,  2003_year ,2003-09-15,,89.0,2,3724.0,2282.0,1485,280092.0,66.0,761,2018-08-18 14:25:33,Diesel,Manual,Auto,,red
6,BMW,5,  2005_year ,2005-07-27,,108.0,2,3568.0,2384.0,1652,235328.0,79.0,1689,2018-07-06 15:36:19,Diesel,Manual,Auto,Big,brown
7,Citroen,207,  2005_year ,2006-03-31,,262.0,2,3596.0,1984.0,1468,239409.0,194.0,4817,2018-09-09 11:45:20,Diesel,Auto_or_Hybrid,Auto,Big,red
8,Dacia,307,  2002_year ,2003-02-06,,72.0,1,3597.0,2191.0,1451,135467.0,53.0,730,2018-08-27 17:49:32,Benzin,Manual,Manual,,brown
9,Citroen,500,  2006_year ,2006-04-26,,113.0,2,3840.0,2020.0,1420,172563.0,83.0,5368,2018-06-17 14:24:08,Benzin,Manual,Auto,,brown
10,Fiat,5er,  2007_year ,2007-06-15,,133.0,1,3753.0,2285.0,1603,211896.0,98.0,2568,2018-06-12 12:19:32,Diesel,Auto_or_Hybrid,Manual,,red
11,Audi,1er,  2014_year ,2014-06-30,,115.0,1,3915.0,1972.0,1484,63096.0,85.0,7892,2018-08-09 10:45:15,Diesel,Manual,Auto,,red
12,Citroen,207,  2004_year ,2004-11-23,,173.0,2,3607.0,2177.0,1491,83906.0,127.0,9815,2018-04-22 15:21:27,Benzin,Auto_or_Hybrid,Auto,,red
13,Ford,6,  2008_year ,2009-02-26,,131.0,1,3461.0,2122.0,1480,250866.0,97.0,1884,2018-07-27 10:32:59,Benzin,Manual,Manual,,white
